date,close,volume,open,high,low,symbol,note_ethique
2024-01-23,597.18,2723463,602.21,604.32,591.34,ADBE,0.7794130949760821
2024-01-22,603.59,4488000,615.0,620.96,603.15,ADBE,0.7794130949760821
2024-01-19,611.55,3755338,593.81,612.07,589.13,ADBE,0.7794130949760821
2024-01-18,593.7,2793610,586.9,596.89,584.21,ADBE,0.7794130949760821
2024-01-17,596.1,2588293,591.99,596.75,582.44,ADBE,0.7794130949760821
2024-01-16,597.68,2126096,592.83,597.76,588.34,ADBE,0.7794130949760821
2024-01-12,596.54,1472167,598.39,599.38,593.0177,ADBE,0.7794130949760821
2024-01-11,597.49,2331830,592.0,597.84,584.52,ADBE,0.7794130949760821
2024-01-10,591.03,2135690,585.43,593.65,585.43,ADBE,0.7794130949760821
2024-01-09,586.2,1926919,578.33,588.2,577.28,ADBE,0.7794130949760821
2024-01-08,580.55,2829955,567.87,581.51,567.87,ADBE,0.7794130949760821
2024-01-05,564.6,1923240,563.5,569.52,563.34,ADBE,0.7794130949760821
2024-01-04,567.05,2092099,570.99,572.91,566.66,ADBE,0.7794130949760821
2024-01-03,571.79,2478008,574.58,577.305,570.19,ADBE,0.7794130949760821
2024-01-02,580.07,2840192,589.51,590.44,576.755,ADBE,0.7794130949760821
2023-12-29,596.6,1890231,596.09,600.75,592.94,ADBE,0.7794130949760821
2023-12-28,595.52,1702553,597.44,599.04,593.6301,ADBE,0.7794130949760821
2023-12-27,596.08,1394905,598.6,599.79,593.71,ADBE,0.7794130949760821
2023-12-26,598.26,1595053,598.92,601.69,596.5,ADBE,0.7794130949760821
2023-12-22,598.75,1660631,600.8,601.86,596.0,ADBE,0.7794130949760821
2023-12-21,600.14,3192763,603.0,607.4006,594.82,ADBE,0.7794130949760821
2023-12-20,596.06,2587339,600.71,610.68,595.07,ADBE,0.7794130949760821
2023-12-19,604.64,4150712,600.0,612.705,598.08,ADBE,0.7794130949760821
2023-12-18,599.13,5452047,591.52,603.1337,586.62,ADBE,0.7794130949760821
2023-12-15,584.68,8666491,580.6,591.66,578.2,ADBE,0.7794130949760821
2023-12-14,584.64,11315350,593.0,593.16,578.3,ADBE,0.7794130949760821
2023-12-13,624.26,6188452,630.41,632.445,618.0301,ADBE,0.7794130949760821
2023-12-12,633.66,2968858,625.86,633.89,623.0,ADBE,0.7794130949760821
2023-12-11,625.2,3270609,616.88,627.8195,614.34,ADBE,0.7794130949760821
2023-12-08,610.01,2499653,605.0,610.23,601.3,ADBE,0.7794130949760821
2023-12-07,608.78,2605210,598.92,609.23,596.47,ADBE,0.7794130949760821
2023-12-06,595.7,2080429,608.06,608.5302,594.4867,ADBE,0.7794130949760821
2023-12-05,602.22,2577716,596.77,602.74,591.17,ADBE,0.7794130949760821
2023-12-04,604.56,2541501,604.91,608.29,596.21,ADBE,0.7794130949760821
2023-12-01,612.47,2490500,609.24,615.2,603.18,ADBE,0.7794130949760821
2023-11-30,611.01,3960309,620.0,621.48,605.07,ADBE,0.7794130949760821
2023-11-29,617.39,2595632,625.94,628.6,616.77,ADBE,0.7794130949760821
2023-11-28,623.32,2302913,613.975,625.6,612.26,ADBE,0.7794130949760821
2023-11-27,619.27,1854409,618.8,625.8341,614.57,ADBE,0.7794130949760821
2023-11-24,619.43,942673,616.26,619.44,613.6,ADBE,0.7794130949760821
2023-11-22,619.72,2064968,616.63,624.38,614.0101,ADBE,0.7794130949760821
2023-11-21,610.99,1906155,610.63,615.565,607.0301,ADBE,0.7794130949760821
2023-11-20,612.7,2394373,605.31,614.2,604.5,ADBE,0.7794130949760821
2023-11-17,602.66,1969358,602.07,605.0499,597.02,ADBE,0.7794130949760821
2023-11-16,602.06,2040415,595.45,605.27,592.14,ADBE,0.7794130949760821
2023-11-15,595.31,3088889,605.0,605.73,591.79,ADBE,0.7794130949760821
2023-11-14,604.33,2884917,601.56,613.705,599.04,ADBE,0.7794130949760821
2023-11-13,590.34,2505111,589.98,594.26,583.36,ADBE,0.7794130949760821
2023-11-10,597.22,3064510,580.49,598.135,576.005,ADBE,0.7794130949760821
2023-11-09,577.74,2336580,587.51,590.04,576.34,ADBE,0.7794130949760821
2023-11-08,585.31,3079173,589.0,595.665,581.07,ADBE,0.7794130949760821
2023-11-07,585.2,3993621,568.81,589.0,568.81,ADBE,0.7794130949760821
2023-11-06,565.45,2593386,566.0,567.88,558.175,ADBE,0.7794130949760821
2023-11-03,563.66,2066520,560.0,567.03,557.66,ADBE,0.7794130949760821
2023-11-02,558.71,2634829,550.44,559.355,550.0,ADBE,0.7794130949760821
2023-11-01,544.5,2644530,535.0,545.27,534.0,ADBE,0.7794130949760821
2023-10-31,532.06,2052270,530.64,532.635,522.8101,ADBE,0.7794130949760821
2023-10-30,526.94,2806930,516.11,530.75,512.24,ADBE,0.7794130949760821
2023-10-27,508.12,2985560,517.5,519.8556,506.915,ADBE,0.7794130949760821
2023-10-26,514.28,2876701,530.0,530.99,511.68,ADBE,0.7794130949760821
2023-10-25,521.14,2525960,533.56,534.46,517.63,ADBE,0.7794130949760821
2023-10-24,539.56,2358082,544.64,546.0,532.12,ADBE,0.7794130949760821
2023-10-23,540.41,2172607,535.81,548.025,531.0,ADBE,0.7794130949760821
2023-10-20,540.96,2729190,555.74,555.98,535.95,ADBE,0.7794130949760821
2023-10-19,555.74,2809290,560.0,567.1,553.47,ADBE,0.7794130949760821
2023-10-18,557.87,2614474,554.48,568.18,554.24,ADBE,0.7794130949760821
2023-10-17,560.09,2355261,545.41,560.8,543.34,ADBE,0.7794130949760821
2023-10-16,550.74,2179737,553.18,555.57,545.6904,ADBE,0.7794130949760821
2023-10-13,548.76,2834091,560.0,562.89,546.99,ADBE,0.7794130949760821
2023-10-12,559.63,4624024,553.7,574.4,552.23,ADBE,0.7794130949760821
